Time,Athlete,Year
0.177,1,0
0.172,1,0
0.148,1,0
0.115,1,1
0.123,1,1
0.119,1,1
0.165,2,0
0.172,2,0
0.201,2,0
0.107,2,1
0.129,2,1
0.119,2,1
0.191,3,0
0.176,3,0
0.156,3,0
0.136,3,1
0.121,3,1
0.11,3,1
0.176,4,0
0.156,4,0
0.122,4,1
0.118,4,1
0.104,4,1
0.159,5,0
0.143,5,0
0.134,5,1
0.121,5,1
0.181,6,0
0.163,6,0
0.16,6,1
0.118,6,1
0.15,7,0
0.144,7,0
0.141,7,1
0.131,7,1
