Time,Athlete,Year
0.166,1,1
0.158,1,1
0.128,1,2
0.124,1,2
0.119,2,1
0.124,2,1
0.101,2,2
0.099,2,2
0.169,3,1
0.149,3,1
0.115,3,2
0.108,3,2
0.162,4,1
0.139,4,2
0.123,5,1
0.141,5,2
0.162,6,1
0.15,6,1
0.142,6,2
0.137,7,1
0.116,7,2
0.158,8,1
0.149,8,2
0.163,10,1
0.161,10,1
0.129,10,2
0.176,12,1
0.131,12,2
