Time,Athlete,Year
0.162,1,0
0.163,1,0
0.163,1,0
0.135,1,1
0.161,2,0
0.175,2,0
0.158,2,0
0.153,2,1
0.157,2,1
0.155,3,0
0.16,3,0
0.171,3,0
0.132,3,1
0.143,3,1
0.116,3,1
0.18,4,0
0.191,4,0
0.185,4,0
0.195,4,1
0.182,4,1
0.184,5,0
0.198,5,0
0.199,5,0
0.137,5,1
0.15,5,1
0.175,6,0
0.168,6,0
0.173,6,0
0.124,6,1
0.16,6,1
0.145,6,1
0.183,7,0
0.172,7,0
0.187,7,0
0.127,7,1
0.14,7,1
0.136,7,1
0.136,8,0
0.119,8,1
0.126,8,1
